Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,"Final outcomes: Refused asylum, HP, DL or other leave",Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2004,Total,Total,33960,32043,1253,3516,1,27273,1141,776,21283,3950,16506,766,61,5857,2959,1534,499,926,4907,3813,23262,1141,837
2005,Total,Total,25712,23970,1944,2781,2,19243,1009,733,14277,3032,10599,523,123,5114,2112,1211,345,556,4801,2958,16088,1009,856
2006,Total,Total,23608,21523,2691,2353,6,16473,1238,847,11589,2567,8416,497,109,4625,1859,1014,374,471,5043,2574,13797,1238,956
2007,Total,Total,23431,21021,3874,2206,9,14932,1981,429,10660,2292,7583,415,370,4261,2170,1256,451,463,5903,2478,12270,1981,799
2008,Asia Central,Afghanistan,3433,2827,149,1076,1,1601,573,33,1420,308,1021,58,33,1100,532,338,39,155,426,996,1385,562,64
2008,Europe Other,Albania,160,132,0,52,0,80,27,1,43,9,28,4,2,73,22,5,8,9,8,48,74,27,3
2008,Africa North,Algeria,350,236,2,13,0,221,108,6,109,11,85,9,4,108,66,15,28,23,10,15,208,107,10
2008,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Angola,78,69,8,13,0,48,7,2,39,3,35,0,1,13,2,0,0,2,10,14,44,7,3
2008,Other,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Antigua and Barbuda,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,America Central and South,Argentina,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2008,Europe Other,Armenia,12,12,0,0,0,12,0,0,10,3,6,1,0,3,3,2,1,0,3,0,9,0,0
2008,America Central and South,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Australia,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
2008,EU 14,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Azerbaijan,10,7,3,0,0,4,3,0,3,0,3,0,0,1,1,0,0,1,3,0,4,3,0
2008,America Central and South,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Middle East,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia South,Bangladesh,448,327,1,70,0,256,114,7,157,25,124,7,1,128,95,54,20,21,11,83,233,114,7
